timestamp_s,strategy,alloc_num,footprint_bytes
30.000,ahe_mrta_v3,1,68
35.000,ahe_mrta_v3,2,68
40.000,ahe_mrta_v3,3,68
45.000,ahe_mrta_v3,4,68
50.000,ahe_mrta_v3,5,68
55.000,ahe_mrta_v3,6,68
60.000,ahe_mrta_v3,7,80
65.000,ahe_mrta_v3,8,80
70.000,ahe_mrta_v3,9,76
75.000,ahe_mrta_v3,10,72
80.000,ahe_mrta_v3,11,56
85.000,ahe_mrta_v3,12,60
90.000,ahe_mrta_v3,13,60
95.000,ahe_mrta_v3,14,64
100.000,ahe_mrta_v3,15,60
105.000,ahe_mrta_v3,16,64
110.000,ahe_mrta_v3,17,60
115.000,ahe_mrta_v3,18,60
120.000,ahe_mrta_v3,19,56
125.000,ahe_mrta_v3,20,56
130.000,ahe_mrta_v3,21,52
135.000,ahe_mrta_v3,22,56
140.000,ahe_mrta_v3,23,56
145.000,ahe_mrta_v3,24,52
150.000,ahe_mrta_v3,25,56
155.000,ahe_mrta_v3,26,56
160.000,ahe_mrta_v3,27,52
165.000,ahe_mrta_v3,28,56
170.000,ahe_mrta_v3,29,56
175.000,ahe_mrta_v3,30,48
180.000,ahe_mrta_v3,31,56
