timestamp_s,task_id,event,robot_id,strategy,scenario,seed
28.000,task_001,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_002,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_003,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_004,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_005,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_006,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_007,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_008,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_009,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_010,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_011,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_012,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_013,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_014,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_015,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_016,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_017,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_018,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_019,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_020,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_021,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_022,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_023,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_024,activated,,ahe_mrta_v3,robot_failure,2
28.000,task_025,activated,,ahe_mrta_v3,robot_failure,2
30.000,task_023,assigned,robot_1,ahe_mrta_v3,robot_failure,2
30.000,task_005,assigned,robot_1,ahe_mrta_v3,robot_failure,2
30.000,task_018,assigned,robot_2,ahe_mrta_v3,robot_failure,2
30.000,task_012,assigned,robot_2,ahe_mrta_v3,robot_failure,2
30.000,task_004,assigned,robot_3,ahe_mrta_v3,robot_failure,2
30.000,task_002,assigned,robot_3,ahe_mrta_v3,robot_failure,2
30.000,task_011,assigned,robot_4,ahe_mrta_v3,robot_failure,2
30.000,task_025,assigned,robot_4,ahe_mrta_v3,robot_failure,2
30.000,task_016,assigned,robot_5,ahe_mrta_v3,robot_failure,2
30.000,task_007,assigned,robot_5,ahe_mrta_v3,robot_failure,2
37.542,task_018,completed,robot_2,ahe_mrta_v3,robot_failure,2
40.000,task_003,assigned,robot_2,ahe_mrta_v3,robot_failure,2
61.675,task_004,completed,robot_3,ahe_mrta_v3,robot_failure,2
63.841,task_023,completed,robot_1,ahe_mrta_v3,robot_failure,2
65.000,task_022,assigned,robot_1,ahe_mrta_v3,robot_failure,2
65.000,task_015,assigned,robot_3,ahe_mrta_v3,robot_failure,2
72.540,task_002,completed,robot_3,ahe_mrta_v3,robot_failure,2
73.728,task_016,completed,robot_5,ahe_mrta_v3,robot_failure,2
75.000,task_020,assigned,robot_3,ahe_mrta_v3,robot_failure,2
75.000,task_017,assigned,robot_5,ahe_mrta_v3,robot_failure,2
82.979,task_012,completed,robot_2,ahe_mrta_v3,robot_failure,2
88.736,task_011,completed,robot_4,ahe_mrta_v3,robot_failure,2
89.757,task_005,completed,robot_1,ahe_mrta_v3,robot_failure,2
90.000,task_001,assigned,robot_4,ahe_mrta_v3,robot_failure,2
90.452,task_007,completed,robot_5,ahe_mrta_v3,robot_failure,2
95.000,task_010,assigned,robot_1,ahe_mrta_v3,robot_failure,2
95.000,task_008,assigned,robot_5,ahe_mrta_v3,robot_failure,2
100.522,task_022,completed,robot_1,ahe_mrta_v3,robot_failure,2
105.000,task_024,assigned,robot_1,ahe_mrta_v3,robot_failure,2
112.949,task_015,completed,robot_3,ahe_mrta_v3,robot_failure,2
115.000,task_014,assigned,robot_3,ahe_mrta_v3,robot_failure,2
116.630,task_010,completed,robot_1,ahe_mrta_v3,robot_failure,2
120.000,task_009,assigned,robot_1,ahe_mrta_v3,robot_failure,2
125.872,task_017,completed,robot_5,ahe_mrta_v3,robot_failure,2
130.000,task_013,assigned,robot_5,ahe_mrta_v3,robot_failure,2
147.448,task_024,completed,robot_1,ahe_mrta_v3,robot_failure,2
150.000,task_021,assigned,robot_4,ahe_mrta_v3,robot_failure,2
155.000,task_006,assigned,robot_1,ahe_mrta_v3,robot_failure,2
156.348,task_020,completed,robot_3,ahe_mrta_v3,robot_failure,2
158.574,task_025,completed,robot_4,ahe_mrta_v3,robot_failure,2
160.000,task_019,assigned,robot_3,ahe_mrta_v3,robot_failure,2
165.062,task_001,completed,robot_4,ahe_mrta_v3,robot_failure,2
165.679,task_008,completed,robot_5,ahe_mrta_v3,robot_failure,2
168.745,task_014,completed,robot_3,ahe_mrta_v3,robot_failure,2
170.000,task_003,assigned,robot_5,ahe_mrta_v3,robot_failure,2
181.846,task_009,completed,robot_1,ahe_mrta_v3,robot_failure,2
182.195,task_013,completed,robot_5,ahe_mrta_v3,robot_failure,2
182.565,task_019,completed,robot_3,ahe_mrta_v3,robot_failure,2
193.651,task_021,completed,robot_4,ahe_mrta_v3,robot_failure,2
195.079,task_006,completed,robot_1,ahe_mrta_v3,robot_failure,2
207.189,task_003,completed,robot_5,ahe_mrta_v3,robot_failure,2
