timestamp_s,task_id,event,robot_id,strategy,scenario,seed
29.000,task_001,activated,,ahe_mrta_v3,mixed_stress,6
29.000,task_002,activated,,ahe_mrta_v3,mixed_stress,6
29.000,task_003,activated,,ahe_mrta_v3,mixed_stress,6
29.000,task_004,activated,,ahe_mrta_v3,mixed_stress,6
29.000,task_005,activated,,ahe_mrta_v3,mixed_stress,6
29.000,task_006,activated,,ahe_mrta_v3,mixed_stress,6
29.000,task_007,activated,,ahe_mrta_v3,mixed_stress,6
29.000,task_008,activated,,ahe_mrta_v3,mixed_stress,6
30.000,task_002,assigned,robot_1,ahe_mrta_v3,mixed_stress,6
30.000,task_006,assigned,robot_2,ahe_mrta_v3,mixed_stress,6
30.000,task_008,assigned,robot_3,ahe_mrta_v3,mixed_stress,6
30.000,task_007,assigned,robot_3,ahe_mrta_v3,mixed_stress,6
30.000,task_003,assigned,robot_4,ahe_mrta_v3,mixed_stress,6
30.000,task_004,assigned,robot_5,ahe_mrta_v3,mixed_stress,6
30.000,task_001,assigned,robot_5,ahe_mrta_v3,mixed_stress,6
59.001,task_009,activated,,ahe_mrta_v3,mixed_stress,6
59.001,task_010,activated,,ahe_mrta_v3,mixed_stress,6
59.001,task_011,activated,,ahe_mrta_v3,mixed_stress,6
59.001,task_012,activated,,ahe_mrta_v3,mixed_stress,6
59.001,task_013,activated,,ahe_mrta_v3,mixed_stress,6
59.001,task_014,activated,,ahe_mrta_v3,mixed_stress,6
59.001,task_015,activated,,ahe_mrta_v3,mixed_stress,6
59.001,task_016,activated,,ahe_mrta_v3,mixed_stress,6
59.890,task_008,completed,robot_3,ahe_mrta_v3,mixed_stress,6
60.000,task_013,assigned,robot_1,ahe_mrta_v3,mixed_stress,6
60.000,task_015,assigned,robot_2,ahe_mrta_v3,mixed_stress,6
60.000,task_014,assigned,robot_4,ahe_mrta_v3,mixed_stress,6
62.571,task_002,completed,robot_1,ahe_mrta_v3,mixed_stress,6
65.000,task_016,assigned,robot_1,ahe_mrta_v3,mixed_stress,6
65.000,task_012,assigned,robot_3,ahe_mrta_v3,mixed_stress,6
68.351,task_004,completed,robot_5,ahe_mrta_v3,mixed_stress,6
71.194,task_013,completed,robot_1,ahe_mrta_v3,mixed_stress,6
71.659,task_003,completed,robot_4,ahe_mrta_v3,mixed_stress,6
75.000,task_015,assigned,robot_5,ahe_mrta_v3,mixed_stress,6
75.342,task_006,completed,robot_2,ahe_mrta_v3,mixed_stress,6
79.691,task_007,completed,robot_3,ahe_mrta_v3,mixed_stress,6
89.000,task_017,activated,,ahe_mrta_v3,mixed_stress,6
89.000,task_018,activated,,ahe_mrta_v3,mixed_stress,6
89.000,task_019,activated,,ahe_mrta_v3,mixed_stress,6
89.000,task_020,activated,,ahe_mrta_v3,mixed_stress,6
89.000,task_021,activated,,ahe_mrta_v3,mixed_stress,6
89.000,task_022,activated,,ahe_mrta_v3,mixed_stress,6
89.000,task_023,activated,,ahe_mrta_v3,mixed_stress,6
89.000,task_024,activated,,ahe_mrta_v3,mixed_stress,6
89.000,task_025,activated,,ahe_mrta_v3,mixed_stress,6
90.000,task_021,assigned,robot_3,ahe_mrta_v3,mixed_stress,6
90.000,task_024,assigned,robot_4,ahe_mrta_v3,mixed_stress,6
91.794,task_001,completed,robot_5,ahe_mrta_v3,mixed_stress,6
97.700,task_016,completed,robot_1,ahe_mrta_v3,mixed_stress,6
100.000,task_019,assigned,robot_1,ahe_mrta_v3,mixed_stress,6
106.375,task_012,completed,robot_3,ahe_mrta_v3,mixed_stress,6
110.136,task_014,completed,robot_4,ahe_mrta_v3,mixed_stress,6
115.000,task_023,assigned,robot_4,ahe_mrta_v3,mixed_stress,6
120.927,task_021,completed,robot_3,ahe_mrta_v3,mixed_stress,6
122.172,task_024,completed,robot_4,ahe_mrta_v3,mixed_stress,6
122.375,task_015,completed,robot_5,ahe_mrta_v3,mixed_stress,6
125.000,task_009,assigned,robot_3,ahe_mrta_v3,mixed_stress,6
125.000,task_020,assigned,robot_5,ahe_mrta_v3,mixed_stress,6
136.933,task_023,completed,robot_4,ahe_mrta_v3,mixed_stress,6
140.000,task_025,assigned,robot_4,ahe_mrta_v3,mixed_stress,6
143.184,task_019,completed,robot_1,ahe_mrta_v3,mixed_stress,6
144.932,task_009,completed,robot_3,ahe_mrta_v3,mixed_stress,6
145.000,task_017,assigned,robot_1,ahe_mrta_v3,mixed_stress,6
145.000,task_005,assigned,robot_3,ahe_mrta_v3,mixed_stress,6
150.833,task_005,completed,robot_3,ahe_mrta_v3,mixed_stress,6
153.680,task_020,completed,robot_5,ahe_mrta_v3,mixed_stress,6
155.000,task_010,assigned,robot_3,ahe_mrta_v3,mixed_stress,6
155.000,task_018,assigned,robot_5,ahe_mrta_v3,mixed_stress,6
160.923,task_017,completed,robot_1,ahe_mrta_v3,mixed_stress,6
165.000,task_022,assigned,robot_1,ahe_mrta_v3,mixed_stress,6
169.027,task_022,completed,robot_1,ahe_mrta_v3,mixed_stress,6
170.000,task_011,assigned,robot_1,ahe_mrta_v3,mixed_stress,6
181.766,task_018,completed,robot_5,ahe_mrta_v3,mixed_stress,6
187.880,task_010,completed,robot_3,ahe_mrta_v3,mixed_stress,6
202.389,task_025,completed,robot_4,ahe_mrta_v3,mixed_stress,6
217.773,task_011,completed,robot_1,ahe_mrta_v3,mixed_stress,6
